Customer Remarks,category,cleaned_remarks,category_encoded
Best costumer helping ,Returns,best costumer helping,10
Exchange my order ,Returns,exchange my order,10
Any iteme not  sales for warranty,Order Related,any iteme not sales for warranty,5
Thankyou ,Returns,thankyou,10
Good ,Returns,good,10
Ok,Returns,ok,10
Resolve your important customer's problem as soon as possible,Order Related,resolve your important customers problem as soon as possible,5
Thanku ,Order Related,thanku,5
Best ,Returns,best,10
Thank you,Returns,thank you,10
Need more live updates and prompt correction on complaints ,Returns,need more live updates and prompt correction on complaints,10
Thank you so much Shopzilla,Returns,thank you so much shopzilla,10
Very supportive ,Returns,very supportive,10
Your customer support is very poor please improve it????,Order Related,your customer support is very poor please improve it,5
"I have complained many times, Shopzilla should pack the goods a little better so that the goods do not get damaged.",Returns,i have complained many times shopzilla should pack the goods a little better so that the goods do not get damaged,10
Very good service ,Returns,very good service,10
Thank u,Order Related,thank u,5
Very good,Returns,very good,10
Ok,Returns,ok,10
Customer care agent is good in understanding and addressing ,Order Related,customer care agent is good in understanding and addressing,5
Thankyou ??,Order Related,thankyou,5
Thanks ,Order Related,thanks,5
???? ?????? ?? ???? ????? ?? Communicatie ????,Order Related,communicatie,5
Easly issue resolve ,Returns,easly issue resolve,10
Nice,Returns,nice,10
Nice ,Order Related,nice,5
Very good conversation bitween i and costamber caier ,Order Related,very good conversation bitween i and costamber caier,5
Very good ??,Returns,very good,10
Delevery late huaa,Returns,delevery late huaa,10
Thank you Shopzilla ,Order Related,thank you shopzilla,5
"You only need to refund my money. N stop making false claims that u have refunded the amount. The customer service is not reachable n just in case we manage to get a call,the line is blank n no response from your end whatsoever.Pathetic services!",Refund Related,you only need to refund my money n stop making false claims that u have refunded the amount the customer service is not reachable n just in case we manage to get a callthe line is blank n no response from your end whatsoeverpathetic services,9
Delivery boy misbehave ,Returns,delivery boy misbehave,10
Voice on call bad not working proper sound ,Returns,voice on call bad not working proper sound,10
Nice ??,Returns,nice,10
Customer care people should have product knowledge and case understanding ability. Just they cant give standard scripted answers ,Order Related,customer care people should have product knowledge and case understanding ability just they cant give standard scripted answers,5
Nice,Returns,nice,10
It's good,Returns,its good,10
 Good,Refund Related,good,9
Good ,Returns,good,10
Kindly mention exchange option also in products,Returns,kindly mention exchange option also in products,10
Customer support executive have best,Returns,customer support executive have best,10
Issue not resolved ,Order Related,issue not resolved,5
Could not resolve because delivery man had not reported that item had been delivered!Was sent plastic item instead of tempered glass.Have to phone again tomorrow!!,Product Queries,could not resolve because delivery man had not reported that item had been deliveredwas sent plastic item instead of tempered glasshave to phone again tomorrow,8
??,Order Related,,5
Excellent feedback ,Returns,excellent feedback,10
nice person helpful thank you ,Feedback,nice person helpful thank you,2
Not goog ,Order Related,not goog,5
Nilesh was quick and on point.,Product Queries,nilesh was quick and on point,8
Everything is fine,Returns,everything is fine,10
Make easy contact with customer support ,Refund Related,make easy contact with customer support,9
Super ,Returns,super,10
5star,Order Related,5star,5
Customer care must be as the one I talked to,Returns,customer care must be as the one i talked to,10
Very good and excellent  service  provider ,Cancellation,very good and excellent service provider,1
They need to understand us better,Product Queries,they need to understand us better,8
Nice,Order Related,nice,5
No use of talks if issues can't be resolved all customers care people talks polite n don't work on the issues ..I didn't got any solution on this ,Returns,no use of talks if issues cant be resolved all customers care people talks polite n dont work on the issues i didnt got any solution on this,10
"Good behave and I'm with this man , All the things he explained very well",Order Related,good behave and im with this man all the things he explained very well,5
My issue not yet resolved ,Returns,my issue not yet resolved,10
Thank you so much mam ,Returns,thank you so much mam,10
Good ,Returns,good,10
Nice,Returns,nice,10
Good Service ,Feedback,good service,2
??,Returns,,10
Good ,Returns,good,10
Very nice,Returns,very nice,10
Good response ,Returns,good response,10
Good ,Returns,good,10
Excellent ,Order Related,excellent,5
Very nice ,Order Related,very nice,5
The person is very politely talking thanku ,Order Related,the person is very politely talking thanku,5
I am satisfied with your customer care service ,Order Related,i am satisfied with your customer care service,5
Good,Returns,good,10
Good,Refund Related,good,9
Good ,Returns,good,10
Nice efforts but address not changed ,Order Related,nice efforts but address not changed,5
Good,Returns,good,10
Very good,Returns,very good,10
???? ????? ??? ???? ????? ???? ,Returns,,10
Extraordinary fantastic mind-blowing ??,Returns,extraordinary fantastic mindblowing,10
Good,Returns,good,10
I am a senior citizen of age 72 not coop with the present technology so If it is possible for you to provide direct Customer care number to solve inssues .,Returns,i am a senior citizen of age 72 not coop with the present technology so if it is possible for you to provide direct customer care number to solve inssues,10
